ids,text,aspect,sentiment,entity,attribute
B00KMRGF28_374_AS24VWQPFK1HB:3,pretti much everi major game save solitar even play due slow processor,CPU#OPERATION_PERFORMANCE,negative,CPU,OPERATION_PERFORMANCE
B00KMRGF28_248_ALFFLXZLA8653:2,dell support aw deal,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
B00KMRGF28_158_A290OAUA8EAMP3:2,mous pad howev loud give four star,MOUSE#QUALITY,negative,MOUSE,QUALITY
B00KMRGF28_168_A3TKNSIFQ0WOEE:4,internet fast reliabl batteri life last long time,LAPTOP#CONNECTIVITY,positive,LAPTOP,CONNECTIVITY
B00KMRGF28_176_A7M27ZVQA4N2X:8,plug exist printer work fuss muss,LAPTOP#CONNECTIVITY,positive,LAPTOP,CONNECTIVITY
344:3,screen littl glari hate click button get use,MOUSE#USABILITY,neutral,MOUSE,USABILITY
B0096VDM8G_41_A3NKYLRUY6OC62:0,wonder super fast lightweight comput,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
B00FU83YWS_203_A9GCSPVVE7ML0:3,would purchas,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
387:3,keep turn decid low mute,MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE,negative,MULTIMEDIA_DEVICES,OPERATION_PERFORMANCE
306:5,play first person shooter mind want run ms offic email chat download video listen music certain fruit name music store look highli portabl yet power netbook highli recommend check,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
354:2,everyth would need home comput,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
B00KMRGF28_184_A12IPRD9B0KX9P:9,would definit recommend technolog ignor,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
B00KMRGF28_143_A2F0D5EV8ZOK44:0,dell quick enough sturdi good finger print,LAPTOP#QUALITY,negative,LAPTOP,QUALITY
29:10,honestli love mac that self proclaim mac addict,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00FU83YWS_200_A2P9XOT1E1YQZ0:3,bloatwar third parti parasit uninstal,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
44:1,keyboard reason size,KEYBOARD#DESIGN_FEATURES,positive,KEYBOARD,DESIGN_FEATURES
230:7,processor go fan go motherboard go,FANS_COOLING#QUALITY,negative,FANS_COOLING,QUALITY
96:3,buy gateway comput junk warranti compani horribl,COMPANY#GENERAL,negative,COMPANY,GENERAL
130:5,say sorri warranti,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
B0096VDM8G_29_A1JFXUCXT356UK:6,far lose qualiti inform,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
264:2,without big ol clunki machin backpack feel like program homework anywher,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
336:3,comfterbal use light easi transport,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
353:2,asid trial softwar short batteri life lack webcam great,LAPTOP#DESIGN_FEATURES,negative,LAPTOP,DESIGN_FEATURES
310:4,take long get switch mac comput program navig fine like way laptop function much well,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
372:6,save money go well devic,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
303:5,program esay use quick process comput work like charm,SOFTWARE#USABILITY,positive,SOFTWARE,USABILITY
B00FU83YWS_262_APGJ4QQPM9QIX:2,like fact come window also includ window instal later need,OS#GENERAL,positive,OS,GENERAL
114:4,wait week get back still work properli,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
374:13,wish volum could louder mous do not break month,MULTIMEDIA_DEVICES#QUALITY,negative,MULTIMEDIA_DEVICES,QUALITY
B00KMRGF28_145_A1X3Y4R5C1S4JH:7,display good qualiti,DISPLAY#QUALITY,positive,DISPLAY,QUALITY
22:5,video card great medium averag game gamer first choic,GRAPHICS#MISCELLANEOUS,positive,GRAPHICS,MISCELLANEOUS
263:1,benefit immedi,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
60:3,ask ship unit back fix site,SUPPORT#QUALITY,neutral,SUPPORT,QUALITY
B00FU83YWS_12_A35C5C6W0TIZA8:10,clunki heavi pain start shut,LAPTOP#PORTABILITY,negative,LAPTOP,PORTABILITY
374:1,problem sound be not loud wear headphon,MULTIMEDIA_DEVICES#QUALITY,negative,MULTIMEDIA_DEVICES,QUALITY
B00FU83YWS_203_A9GCSPVVE7ML0:0,great laptop,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
329:1,registr st use easi,LAPTOP#USABILITY,positive,LAPTOP,USABILITY
175:1,alway reliabl never bug respond well,LAPTOP#QUALITY,positive,LAPTOP,QUALITY
189:18,let friend borrow know noth comput use ea,LAPTOP#USABILITY,positive,LAPTOP,USABILITY
11:5,macbook pro sturdi versatil,LAPTOP#USABILITY,positive,LAPTOP,USABILITY
71:7,highli recommend product,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
57:1,easi learn curv,LAPTOP#USABILITY,positive,LAPTOP,USABILITY
282:1,impress batteri life perform small amount memori,MEMORY#DESIGN_FEATURES,neutral,MEMORY,DESIGN_FEATURES
371:1,screen size perfect portabl use environ,LAPTOP#PORTABILITY,positive,LAPTOP,PORTABILITY
130:8,send machin last april return may document do anyth,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
237:1,screen show great color,DISPLAY#QUALITY,positive,DISPLAY,QUALITY
77:0,wait get comput great chang,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00KB3MXH4_19_A3N8I2LSC8VQF3:0,great laptop light versatil,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
352:1,fan vent side cool pad need great featur,FANS_COOLING#DESIGN_FEATURES,positive,FANS_COOLING,DESIGN_FEATURES
68:4,hour batteri life realli someth el,BATTERY#OPERATION_PERFORMANCE,positive,BATTERY,OPERATION_PERFORMANCE
B0096VDM8G_32_ARJBI2V6ET8A4:3,display vibrant clear keyboard well design pleasant type,DISPLAY#QUALITY,positive,DISPLAY,QUALITY
367:4,would definit recommend check laptop market one,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
145:1,warrenti expir hard drive go bad would cost fix replac,SUPPORT#PRICE,negative,SUPPORT,PRICE
354:3,impress,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
390:2,tosiba good reput llast comput acer,COMPANY#GENERAL,positive,COMPANY,GENERAL
92:15,realli frustrat experi,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
B00FU83YWS_8_A39B6W3B15HS0A:0,one laptop still avail win pro multipl usb port dvd read write drive,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
52:10,steve job probabl need help donat afford reason offer peopl truli tri support babi,COMPANY#GENERAL,negative,COMPANY,GENERAL
36:0,think comput super lame,LAPTOP#QUALITY,negative,LAPTOP,QUALITY
353:4,oh yea numer pad side,KEYBOARD#DESIGN_FEATURES,negative,KEYBOARD,DESIGN_FEATURES
B00FU83YWS_26_A3I7Q5Y8IIS1YE:3,nuisanc famili skype call one speak time,LAPTOP#USABILITY,negative,LAPTOP,USABILITY
B0096VDM8G_5_A2Q6ZHSO5QDPRQ:4,also sound qualiti speaker crystal clear everyth sleek smooth,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
150:0,dell decent make pc,LAPTOP#GENERAL,neutral,LAPTOP,GENERAL
29:5,love macbook choo buy,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
366:3,make well thick tough,LAPTOP#QUALITY,positive,LAPTOP,QUALITY
B00FU83YWS_200_A2P9XOT1E1YQZ0:3,bloatwar third parti parasit uninstal,SOFTWARE#GENERAL,positive,SOFTWARE,GENERAL
266:3,fast effici,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
B00FU83YWS_8_A39B6W3B15HS0A:2,necess someth come expect,LAPTOP#DESIGN_FEATURES,negative,LAPTOP,DESIGN_FEATURES
59:2,month charger stop work forc go buy new hardwar keep comput run,HARDWARE#QUALITY,negative,HARDWARE,QUALITY
319:5,overal though money spend great deal,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
54:1,spend alot money product nightmar,LAPTOP#PRICE,negative,LAPTOP,PRICE
273:9,expen well worth long run,LAPTOP#PRICE,negative,LAPTOP,PRICE
374:8,graphic great,GRAPHICS#GENERAL,positive,GRAPHICS,GENERAL
228:3,machin slow boot occasion crash complet,LAPTOP#OPERATION_PERFORMANCE,negative,LAPTOP,OPERATION_PERFORMANCE
B00KB3MXH4_6_A1OJE3DZ64LB6H:2,sound disappoint,MULTIMEDIA_DEVICES#QUALITY,negative,MULTIMEDIA_DEVICES,QUALITY
369:0,enjoy much new toshiba purchas specifi attend onlin school,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
341:2,also love design look feel toshiba featur wonderful,LAPTOP#QUALITY,positive,LAPTOP,QUALITY
B00D7Z84OY_46_A1P70MSK0HHO7K:4,would highli recommend product anyon look top perform laptop,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
165:0,mani wonder featur benefit new macbook,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
354:0,great littl comput price,LAPTOP#PRICE,neutral,LAPTOP,PRICE
79:6,mine day alreadi use,LAPTOP#USABILITY,positive,LAPTOP,USABILITY
B00FU83YWS_260_A2YQ3TFBY1MASP:5,touchpad work correctli sinc deliveri though begin think perhap bit quirk sinc touchpad work inher odditi,MOUSE#QUALITY,negative,MOUSE,QUALITY
351:2,headphon mic jack front touch pad make touch pad hard use use headphon mic mention laptop design right hand person,LAPTOP#DESIGN_FEATURES,negative,LAPTOP,DESIGN_FEATURES
6:10,hate say could take back shop get money back would,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
391:10,everyth hope would look feel standpoint somehow bit sturdi,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
39:8,comput run fast problem ilif softwar come iphoto imovi iweb itun garageband help well,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
247:3,way big screen abl connect hdmi,DISPLAY#DESIGN_FEATURES,positive,DISPLAY,DESIGN_FEATURES
307:8,offic compat featur function new might well save money learn pre instal mac program,SOFTWARE#DESIGN_FEATURES,neutral,SOFTWARE,DESIGN_FEATURES
355:1,excel speed process datum,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
185:1,happy servic product,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00D7Z84OY_46_A1P70MSK0HHO7K:4,would highli recommend product anyon look top perform laptop,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00KMRGF28_12_A25B2Q7A775WAE:0,purchas dell inspiron bk far love model true life monitor worth extra buck,DISPLAY#DESIGN_FEATURES,positive,DISPLAY,DESIGN_FEATURES
B00KMRGF28_110_A1DQBA28Z04UI1:4,complet wast money do not let price fool,LAPTOP#PRICE,neutral,LAPTOP,PRICE
B00KMRGF28_380_A3NKFNBLS4N4RJ:0,excel item ship time meet expect do not heat do not use game,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
302:4,seem incompat everyth el,SOFTWARE#USABILITY,negative,SOFTWARE,USABILITY
54:4,send back huge crack still work,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
85:9,ye think expe littl much realiz get pay,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
213:1,lcd screen stop work mine month,DISPLAY#QUALITY,negative,DISPLAY,QUALITY
176:1,display comput well see long time batteri life long convien,BATTERY#OPERATION_PERFORMANCE,positive,BATTERY,OPERATION_PERFORMANCE
41:4,graphic bad low end macbook pro spectrum easili capabl run starcraft ii game compar graphic,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
88:2,take back today,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
176:2,littl pricey well well worth,LAPTOP#PRICE,negative,LAPTOP,PRICE
256:1,eleg wonder machin,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
25:3,pay premium laptop,LAPTOP#PRICE,negative,LAPTOP,PRICE
B00FU83YWS_145_A2ZQTQU49CF77U:1,work fine pc price rang,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
B00KMRGF28_258_A2TSDHTJ0H7733:2,mistak research one dvd place insert ad card download pictur,LAPTOP#DESIGN_FEATURES,negative,LAPTOP,DESIGN_FEATURES
307:6,oh great piec equip,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
53:1,buy hsn bundl extra softwar turn softwar crash often,LAPTOP#OPERATION_PERFORMANCE,negative,LAPTOP,OPERATION_PERFORMANCE
130:7,month later want would say exact amount fix machin,SUPPORT#PRICE,negative,SUPPORT,PRICE
11:12,lightweight screen beauti,DISPLAY#GENERAL,positive,DISPLAY,GENERAL
257:2,never issu problem macbook pro far still fast first buy,LAPTOP#QUALITY,positive,LAPTOP,QUALITY
80:0,love littl one,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
1:9,obvious macbook p e r f e c exactli need easi function way,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
97:6,would recommend buy product,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
387:3,keep turn decid low mute,MULTIMEDIA_DEVICES#USABILITY,negative,MULTIMEDIA_DEVICES,USABILITY
333:0,realli impress qualiti perform price comput,LAPTOP#PRICE,neutral,LAPTOP,PRICE
B00KMRGF28_221_A4YVKTRE1Z1OU:3,would full charg yet would turn explain reason minut,LAPTOP#OPERATION_PERFORMANCE,negative,LAPTOP,OPERATION_PERFORMANCE
303:7,give laptop five star review love do cham,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
147:3,problem right speaker work,MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE,negative,MULTIMEDIA_DEVICES,OPERATION_PERFORMANCE
274:3,screen bright vivid keyboard easi use import use quick typer,KEYBOARD#USABILITY,positive,KEYBOARD,USABILITY
B00KMRGF28_163_A2D8S1LRNDVO7T:2,wifi,LAPTOP#CONNECTIVITY,negative,LAPTOP,CONNECTIVITY
B0096VDM8G_22_AFFVUIIK2NR27:1,retina great amazingli fast boot ssd storag clariti screen amaz well,HARD_DISC#DESIGN_FEATURES,positive,HARD_DISC,DESIGN_FEATURES
36:12,favor invest extern harddriv plan purchas laptop,HARD_DISC#DESIGN_FEATURES,negative,HARD_DISC,DESIGN_FEATURES
93:9,break within year purchas speak peopl report damag part return late,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
79:1,comput absolut amaz,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
88:0,buy last week next day return heat touch mous stop respond,MOUSE#OPERATION_PERFORMANCE,negative,MOUSE,OPERATION_PERFORMANCE
44:3,charger seem larg class comput,POWER_SUPPLY#DESIGN_FEATURES,negative,POWER_SUPPLY,DESIGN_FEATURES
B00KMRGF28_172_A1RJ2J18DI98FG:0,great experi purchas dell inspiron bk inch laptop,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
303:8,comput everi break definatli get one,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B0096VDM8G_34_A1B3PJ2QZABWXO:7,overal high qualiti laptop great valu consid comput offer,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
13:1,easi oper alreadi order softwar gadget new roll royc laptop,LAPTOP#USABILITY,positive,LAPTOP,USABILITY
B00FU83YWS_216_A1GXCL1890WK2K:4,updat driver tweek everi featur avail noth help,MOUSE#OPERATION_PERFORMANCE,negative,MOUSE,OPERATION_PERFORMANCE
304:0,second open box fall love comput,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
168:5,netbook perfect supplementari comput anoth laptop desktop wife anoth laptop user use comput simpl task,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
290:2,come good use financ schedul parent busi expen definit amaz game,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
314:5,time restart system updat,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
346:4,overal comput easi use screen perfect great comput daughter love,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00KMRGF28_278_ARETX4KDPRVUN:0,pretti good laptop,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00KMRGF28_361_A2ZAFMJE8NXOWA:0,awesom price laptop last hour without recharg,LAPTOP#PRICE,positive,LAPTOP,PRICE
46:2,love graphic awesom program includ garageband realli cool default background,GRAPHICS#GENERAL,positive,GRAPHICS,GENERAL
382:0,laptop easi set,LAPTOP#USABILITY,positive,LAPTOP,USABILITY
124:7,mention everyth size weight keyboard scream bulk,LAPTOP#DESIGN_FEATURES,negative,LAPTOP,DESIGN_FEATURES
247:0,surpris perform qualiti hp laptop,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
73:0,slow laptop,LAPTOP#OPERATION_PERFORMANCE,negative,LAPTOP,OPERATION_PERFORMANCE
71:6,ilif softwar come comput simpl use produc great finish product,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
50:5,oh yeah forget expen ship hp,SHIPPING#PRICE,negative,SHIPPING,PRICE
204:2,nephew go music fall love macbook pro,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
259:7,good world power eas mac,LAPTOP#USABILITY,positive,LAPTOP,USABILITY
B0096VDM8G_28_A197TNH9U4YJMZ:0,one good thing buy year,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00KMRGF28_158_A290OAUA8EAMP3:0,product averag work well,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
B00FU83YWS_205_ALTYOQRHM0AP7:0,sturdi substanti feel expect thinkpad,LAPTOP#QUALITY,positive,LAPTOP,QUALITY
317:0,ok probabl good laptop seri ever devis appl,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
171:0,great batteri speed display,BATTERY#OPERATION_PERFORMANCE,positive,BATTERY,OPERATION_PERFORMANCE
B00KMRGF28_112_AG0H7UG6OX2GU:2,habit restart tri log pw I m satisfi,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00KMRGF28_338_AB8T657A2V2QS:0,great price,LAPTOP#PRICE,positive,LAPTOP,PRICE
365:1,game includ good game,SOFTWARE#GENERAL,positive,SOFTWARE,GENERAL
289:11,good play app facebook watch movi,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
200:1,thing key broad littl dark see letter would help littl light,KEYBOARD#USABILITY,negative,KEYBOARD,USABILITY
B00KMRGF28_393_A1BMWPLJ532YSC:3,great use,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
191:2,help help get great littl wonder,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
155:7,make product last year get busi,LAPTOP#QUALITY,negative,LAPTOP,QUALITY
105:7,motherboard dead,MOTHERBOARD#QUALITY,negative,MOTHERBOARD,QUALITY
348:0,everyth fine machin speed capac build,LAPTOP#QUALITY,positive,LAPTOP,QUALITY
B00FU83YWS_201_A14L9PF5EWEZUN:0,lenovo littl month everyth want,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
351:2,headphon mic jack front touch pad make touch pad hard use use headphon mic mention laptop design right hand person,MOUSE#USABILITY,negative,MOUSE,USABILITY
92:16,power suppli work,POWER_SUPPLY#OPERATION_PERFORMANCE,negative,POWER_SUPPLY,OPERATION_PERFORMANCE
53:2,shop around current market find much well deal,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
28:3,like,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
213:10,day deni time tell manag get abl send scan copi receipt,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
B00KMRGF28_136_AU1XUW0ZLDFRS:0,good price,LAPTOP#PRICE,positive,LAPTOP,PRICE
196:7,thing like mac sometim program want abl run abl,SOFTWARE#USABILITY,negative,SOFTWARE,USABILITY
B0096VDM8G_47_ADVH60401PIPV:0,outstand laptop well build,LAPTOP#QUALITY,positive,LAPTOP,QUALITY
22:5,video card great medium averag game gamer first choic,GRAPHICS#MISCELLANEOUS,negative,GRAPHICS,MISCELLANEOUS
288:4,also extrem plea eye without look much like alienwar game machin,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
390:0,lot preload softwar,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
114:1,I ve call tech support mani time,LAPTOP#QUALITY,negative,LAPTOP,QUALITY
4:1,eas use one benefit love mac,LAPTOP#USABILITY,positive,LAPTOP,USABILITY
48:8,quiet real joy watch work,LAPTOP#QUALITY,positive,LAPTOP,QUALITY
B00KMRGF28_113_A3PN08FRAUVISF:2,like window fault comput keyboard hard get key work space bar,KEYBOARD#OPERATION_PERFORMANCE,negative,KEYBOARD,OPERATION_PERFORMANCE
B00FU83YWS_262_APGJ4QQPM9QIX:5,wish buy soon,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00FU83YWS_10_A1RQMWLGV6X4PV:1,kinda light plastic feel,LAPTOP#QUALITY,negative,LAPTOP,QUALITY
196:8,game main issu,SOFTWARE#USABILITY,negative,SOFTWARE,USABILITY
201:7,white color stylish colleg student easi take carri take class,LAPTOP#PORTABILITY,positive,LAPTOP,PORTABILITY
285:0,love size keyboard function,KEYBOARD#GENERAL,positive,KEYBOARD,GENERAL
49:5,laptop cost approxim die year month day use,LAPTOP#PRICE,negative,LAPTOP,PRICE
12:1,never singl problem worri virus,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
134:11,would recommend purchas modl toshiba comput toshiba product matter,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
36:1,do not understand anyon think great product worth purchas,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
40:11,also good colleg student need reliabl easi use comput,LAPTOP#USABILITY,positive,LAPTOP,USABILITY
355:0,comput use daili nice compact design,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
176:2,littl pricey well well worth,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
317:6,like much buy anoth wife,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00KMRGF28_285_AULBCYLXY34W9:4,someth realiz buy optic drive mean cd dvd,LAPTOP#DESIGN_FEATURES,negative,LAPTOP,DESIGN_FEATURES
380:2,gb ram plenti abl run window least program next slowdown,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
34:3,tutori display,LAPTOP#MISCELLANEOUS,negative,LAPTOP,MISCELLANEOUS
B00KMRGF28_216_A2VZ7R8QTA0QXE:1,masterpiec crap,LAPTOP#QUALITY,negative,LAPTOP,QUALITY
246:1,use mac time love softwar way take short time load thing easi use worri virus,LAPTOP#QUALITY,positive,LAPTOP,QUALITY
154:4,constantli tri uninstal program clean cooki delet unus file,LAPTOP#USABILITY,negative,LAPTOP,USABILITY
179:2,enjoy toshib forc durabl unparallel,LAPTOP#QUALITY,positive,LAPTOP,QUALITY
308:4,keyboard also nice solid feel,KEYBOARD#GENERAL,positive,KEYBOARD,GENERAL
359:7,month old happi camper,LAPTOP#QUALITY,negative,LAPTOP,QUALITY
387:0,good speed plenti hard drive space,HARD_DISC#DESIGN_FEATURES,positive,HARD_DISC,DESIGN_FEATURES
B0096VDM8G_33_A16DVC8HE3Q3MW:2,quit figur make font size large overal,DISPLAY#USABILITY,neutral,DISPLAY,USABILITY
393:3,screen nice imag come clear keyboard fit feel right,DISPLAY#QUALITY,positive,DISPLAY,QUALITY
88:4,dissappoint becas toshiba year never issu,COMPANY#GENERAL,positive,COMPANY,GENERAL
B00KMRGF28_213_A1HYE6WQREOY5C:3,junkwar,SOFTWARE#GENERAL,positive,SOFTWARE,GENERAL
B00FU83YWS_12_A35C5C6W0TIZA8:3,addit matter chang set add delet flash etc firefox hang start,SOFTWARE#OPERATION_PERFORMANCE,negative,SOFTWARE,OPERATION_PERFORMANCE
264:4,great featur spotlight search one search document simpli type keyword rather par ten file folder document,OS#DESIGN_FEATURES,positive,OS,DESIGN_FEATURES
97:10,also alot troubl shift key go line,KEYBOARD#OPERATION_PERFORMANCE,negative,KEYBOARD,OPERATION_PERFORMANCE
360:0,like price oper,LAPTOP#PRICE,positive,LAPTOP,PRICE
115:7,comput issu keyboard lose half keyboard function,KEYBOARD#OPERATION_PERFORMANCE,negative,KEYBOARD,OPERATION_PERFORMANCE
134:1,comput ship repair depot june return juli seem like short turn around time except comput repair return,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
315:1,deliveri earli,SHIPPING#QUALITY,positive,SHIPPING,QUALITY
B00AH4A950_16_A2URULTKOCNGPZ:0,five start,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
332:0,own labtop less two month alreadi mous button break,MOUSE#QUALITY,negative,MOUSE,QUALITY
B00KMRGF28_225_A3HI5ZE8DCIM5S:1,perfectli satisfi get use new system see problem,OS#USABILITY,neutral,OS,USABILITY
128:7,appl replac hard drive enjoy anoth month new comput freeze morn complet,LAPTOP#OPERATION_PERFORMANCE,negative,LAPTOP,OPERATION_PERFORMANCE
328:0,handl basic medium need easili,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
B00KB3MXH4_22_A106YGESUYA4BP:6,also regret go gb ram super fast,MEMORY#DESIGN_FEATURES,positive,MEMORY,DESIGN_FEATURES
B00FU83YWS_199_A3HRW8G7BZK0CX:1,everyth need,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
254:0,would recommend comput anyon search perfect laptop batteri life amaz,BATTERY#OPERATION_PERFORMANCE,positive,BATTERY,OPERATION_PERFORMANCE
394:16,overal satisfi purchas,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00KMRGF28_348_AIWOQEEVFQO42:1,keep freez,LAPTOP#OPERATION_PERFORMANCE,negative,LAPTOP,OPERATION_PERFORMANCE
154:6,time screen pop say bad internet connect page display,LAPTOP#OPERATION_PERFORMANCE,negative,LAPTOP,OPERATION_PERFORMANCE
247:1,speed fine,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
200:2,would give product hafe star,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
333:2,issu littl slow fix ad ram,MEMORY#DESIGN_FEATURES,neutral,MEMORY,DESIGN_FEATURES
247:3,way big screen abl connect hdmi,LAPTOP#CONNECTIVITY,positive,LAPTOP,CONNECTIVITY
B00FU83YWS_8_A39B6W3B15HS0A:3,need price right,LAPTOP#PRICE,positive,LAPTOP,PRICE
201:6,sleek lightweight charg quickli need,BATTERY#OPERATION_PERFORMANCE,positive,BATTERY,OPERATION_PERFORMANCE
32:9,even year old yet would definit recommend anyon,LAPTOP#QUALITY,negative,LAPTOP,QUALITY
134:9,reaction toshiba noth sit back except fact powerless mind matter,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
100:5,like compani toshiba brand never buy anoth one put worth,COMPANY#GENERAL,negative,COMPANY,GENERAL
B00KMRGF28_112_AG0H7UG6OX2GU:0,comput wonder,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
377:4,kind annoy still love laptop,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00KMRGF28_374_AS24VWQPFK1HB:0,comput absolut perfect web brow watch video word process,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
318:2,great product appl new great look design,COMPANY#GENERAL,positive,COMPANY,GENERAL
10:2,realli cheap will not regret buy,LAPTOP#PRICE,positive,LAPTOP,PRICE
168:1,even great webcam skype work well,MULTIMEDIA_DEVICES#GENERAL,positive,MULTIMEDIA_DEVICES,GENERAL
